latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-37.77238,148.89944,332.84,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.1,3.05,D,0
-37.7731,148.89502,339.87,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.78,7.02,D,0
-37.77453,148.88615,351.42,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.1,8.8,D,0
-37.76879,148.92165,356.73,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,309.07,11.08,D,0
-37.7695,148.91721,356.74,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,306.82,11.08,D,0
-37.70638,149.28137,352.1,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,294.22,17.61,D,0
-37.70712,149.27692,348.08,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,308.82,23.62,D,0
-37.70786,149.27246,345.99,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.85,23.62,D,0
-37.76184,148.94296,342.07,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,288.99,16.07,D,0
-37.76257,148.93852,350.38,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,294.95,22.53,D,0
-37.76328,148.9341,355.6,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,300.52,22.53,D,0
-37.76472,148.9252,356.81,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,305.13,23.42,D,0
-37.76545,148.92078,356.96,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,310.44,28.1,D,0
-37.76976,148.89415,356.64,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,296.02,13.52,D,0
-37.76401,148.92964,357,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,305.18,23.42,D,0
-37.76617,148.91632,356.95,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,311.21,28.1,D,0
-37.76688,148.91191,357,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,310.44,27.84,D,0
-37.7676,148.90744,356.95,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,307.82,27.84,D,0
-37.76832,148.903,357,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,306.81,19.27,D,0
-37.76904,148.89857,356.95,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,305.09,19.27,D,0
-37.70302,149.28049,355.91,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,293.77,17.61,D,0
-37.70376,149.27602,339.1,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,290.39,23.62,D,0
-37.75706,148.95099,345.46,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,290.42,7.01,D,0
-37.75778,148.94653,351.59,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,294.9,16.07,D,0
-37.7585,148.94208,351.75,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,298.17,16.07,D,0
-37.76282,148.91547,355.03,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,308.18,28.1,D,0
-37.76354,148.91103,352.97,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,311.43,27.84,D,0
-37.76426,148.90659,356.22,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,299.54,27.84,D,0
-37.7657,148.89772,355.33,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,289.82,19.27,D,0
-37.75922,148.93765,356.68,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,299.4,22.53,D,0
-37.75994,148.93321,356.66,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,298.52,22.53,D,0
-37.76066,148.92876,356.68,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,298.72,23.42,D,0
-37.76138,148.92433,356.66,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,300.72,23.42,D,0
-37.7621,148.91989,356.68,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,300.58,28.1,D,0
-37.76498,148.90215,356.68,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,296.22,19.27,D,0
-37.75299,148.95457,331.49,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,289.17,28.77,D,0
-37.75371,148.95013,347.91,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,307.17,28.77,D,0
-37.75515,148.94122,353.46,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,305.86,50.93,D,0
-37.75948,148.9146,349,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,302.41,30.76,D,0
-37.7602,148.91014,348.44,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,296.18,29.59,D,0
-37.76092,148.90572,335.1,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,286.63,29.59,D,0
-37.75443,148.94568,310.34,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,324.12,50.93,D,0
-37.75588,148.93678,357.44,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,296.82,19.44,D,0
-37.7566,148.93234,357.47,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,297.08,19.44,D,0
-37.75804,148.92346,357.47,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,301.8,40.37,D,0
-37.75876,148.91901,357.44,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,301.21,30.76,D,0
-37.74964,148.95372,345.33,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,290.54,28.77,D,0
-37.75036,148.94926,354.03,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,302.82,28.77,D,0
-37.75109,148.94481,355.4,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,303.8,50.93,D,0
-37.75181,148.94037,356.35,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,303.44,50.93,D,0
-37.75253,148.93593,356.7,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,301.89,19.44,D,0
-37.75542,148.91817,330.95,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,288.42,30.76,D,0
-37.75326,148.93147,356.86,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,296.08,19.44,D,0
-37.7547,148.92259,356.86,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,293.79,40.37,D,0
-37.73472,149.02388,336.18,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,290.88,21.89,D,0
-37.74629,148.95285,342.46,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,290.34,11.63,D,0
-37.74702,148.94841,353.3,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,293.07,11.63,D,0
-37.74846,148.93951,343.14,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,289.32,13.27,D,0
-37.74919,148.93504,350.4,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,289.08,9.16,D,0
-37.74774,148.94395,357.24,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,293.73,13.27,D,0
-37.73211,149.01852,367,0.39,0.36,2020-01-04,400,N,VIIRS,h,2,298.2,21.89,D,0
-37.72047,149.08965,350.58,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,294.16,7.97,D,0
-37.72846,149.04079,339.59,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,294.95,12.15,D,0
-37.72919,149.03635,344.48,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,293.04,12.15,D,0
-37.72992,149.03191,352.64,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,297.68,26.83,D,0
-37.73065,149.02742,356.74,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,301.08,26.83,D,0
-37.73138,149.02298,354.02,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,302.49,21.89,D,0
-37.73283,149.0141,353.53,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,299.01,27.99,D,0
-37.74151,148.96085,353.68,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,297.29,13.55,D,0
