latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-37.3621,144.91058,367,0.56,0.43,2014-02-10,351,N,VIIRS,l,2,332.56,54.86,D,0
-37.3694,144.84019,349.7,0.57,0.43,2014-02-10,351,N,VIIRS,n,2,305.52,15.05,D,0
-37.36872,144.84677,335.39,0.57,0.43,2014-02-10,351,N,VIIRS,n,2,302.25,15.05,D,0
-37.36279,144.90387,348.29,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,310.95,54.86,D,0
-37.37275,144.84735,335.7,0.57,0.43,2014-02-10,351,N,VIIRS,n,2,303.14,9.07,D,0
-37.36682,144.90446,349.9,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,312.58,18.9,D,0
-37.36612,144.91118,354.06,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,314.25,18.9,D,0
-37.37343,144.84082,367,0.57,0.43,2014-02-10,351,N,VIIRS,h,2,306.72,9.07,D,0
-37.37747,144.84135,340.3,0.57,0.43,2014-02-10,351,N,VIIRS,n,2,301.55,9.07,D,0
-37.37084,144.90509,352.53,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,313.93,18.9,D,0
-37.38092,144.88687,343.86,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,310.4,4.99,D,0
-37.37541,144.93939,339.24,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,301.2,62.81,D,0
-37.38012,144.93341,348.77,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,303.07,27.32,D,0
-37.37943,144.93993,356.27,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,302.42,27.32,D,0
-37.39432,144.83705,343.05,0.57,0.43,2014-02-10,351,N,VIIRS,n,2,297.36,6.97,D,0
-37.38414,144.93398,348.16,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,303.03,27.32,D,0
-37.38345,144.94054,356.81,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,306.84,27.32,D,0
-37.39769,144.84401,348.21,0.57,0.43,2014-02-10,351,N,VIIRS,n,2,314.56,40.52,D,0
-37.39703,144.85034,352.84,0.57,0.43,2014-02-10,351,N,VIIRS,n,2,313.42,40.52,D,0
-37.38816,144.93456,351.71,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,307.15,87.64,D,0
-37.38746,144.94118,345.74,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,315.61,87.64,D,0
-37.39836,144.83769,367,0.57,0.43,2014-02-10,351,N,VIIRS,h,2,329.75,64.5,D,0
-37.40239,144.8383,348.28,0.57,0.43,2014-02-10,351,N,VIIRS,n,2,308.8,64.5,D,0
-37.40172,144.8447,348.46,0.57,0.43,2014-02-10,351,N,VIIRS,n,2,303.5,40.52,D,0
